ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:55:21.499421+00:00,1778381721.499435,Verizon,,tcp_ping,google_meet,21.606750000046304,True,,,2026-05-10 02:55:21.499421+00:00
2026-05-10T02:55:22.024509+00:00,1778381722.02452,Verizon,,tcp_ping,google_static,46.326915999998164,True,,,2026-05-10 02:55:22.024509+00:00
2026-05-10T02:55:22.553558+00:00,1778381722.553594,Verizon,,tcp_ping,cloudflare,74.35341700011122,True,,,2026-05-10 02:55:22.553558+00:00
2026-05-10T02:55:23.073253+00:00,1778381723.073268,Verizon,,tcp_ping,google_dns,93.03058400018926,True,,,2026-05-10 02:55:23.073253+00:00
2026-05-10T02:55:23.974565+00:00,1778381723.9745731,Verizon,,tcp_ping,google_meet,23.241124999913154,True,,,2026-05-10 02:55:23.974565+00:00
2026-05-10T02:55:24.475589+00:00,1778381724.475606,Verizon,,tcp_ping,google_static,23.067583999818453,True,,,2026-05-10 02:55:24.475589+00:00
2026-05-10T02:55:24.477762+00:00,1778381724.477772,Verizon,,download,cloudflare_speed,,True,,67.48792796503236,2026-05-10 02:55:24.477762+00:00
2026-05-10T02:55:24.983408+00:00,1778381724.983417,Verizon,,tcp_ping,cloudflare,30.775416999858862,True,,,2026-05-10 02:55:24.983408+00:00
2026-05-10T02:55:24.951946+00:00,1778381724.951953,Verizon,,upload,cloudflare_speed,,True,,26.777732250175212,2026-05-10 02:55:24.951946+00:00
2026-05-10T02:55:25.471841+00:00,1778381725.471848,Verizon,,tcp_ping,google_dns,18.980291999923793,True,,,2026-05-10 02:55:25.471841+00:00
2026-05-10T02:55:26.273622+00:00,1778381726.27363,Verizon,,tcp_ping,google_meet,21.184167000228626,True,,,2026-05-10 02:55:26.273622+00:00
2026-05-10T02:55:26.775499+00:00,1778381726.7755132,Verizon,,tcp_ping,google_static,22.447666000061872,True,,,2026-05-10 02:55:26.775499+00:00
2026-05-10T02:55:27.282326+00:00,1778381727.2823339,Verizon,,tcp_ping,cloudflare,28.17487499987692,True,,,2026-05-10 02:55:27.282326+00:00
2026-05-10T02:55:27.806129+00:00,1778381727.80614,Verizon,,tcp_ping,google_dns,50.4369170002974,True,,,2026-05-10 02:55:27.806129+00:00
2026-05-10T02:55:28.638857+00:00,1778381728.6388638,Verizon,,tcp_ping,google_meet,19.343083999956434,True,,,2026-05-10 02:55:28.638857+00:00
2026-05-10T02:55:29.147273+00:00,1778381729.147285,Verizon,,tcp_ping,google_static,26.629625000168744,True,,,2026-05-10 02:55:29.147273+00:00
2026-05-10T02:55:29.651661+00:00,1778381729.651676,Verizon,,tcp_ping,cloudflare,29.621500000303058,True,,,2026-05-10 02:55:29.651661+00:00
2026-05-10T02:55:30.162391+00:00,1778381730.1624162,Verizon,,tcp_ping,google_dns,38.60525000027337,True,,,2026-05-10 02:55:30.162391+00:00
2026-05-10T02:55:31.026193+00:00,1778381731.026201,Verizon,,tcp_ping,google_meet,20.877791999737383,True,,,2026-05-10 02:55:31.026193+00:00
2026-05-10T02:55:31.528383+00:00,1778381731.528399,Verizon,,tcp_ping,google_static,21.895082999890292,True,,,2026-05-10 02:55:31.528383+00:00
2026-05-10T02:55:32.033106+00:00,1778381732.0331159,Verizon,,tcp_ping,cloudflare,25.470832999872073,True,,,2026-05-10 02:55:32.033106+00:00
2026-05-10T02:55:32.528818+00:00,1778381732.528834,Verizon,,tcp_ping,google_dns,19.797625000137486,True,,,2026-05-10 02:55:32.528818+00:00
2026-05-10T02:55:33.336622+00:00,1778381733.33663,Verizon,,tcp_ping,google_meet,20.32379199999923,True,,,2026-05-10 02:55:33.336622+00:00
2026-05-10T02:55:33.850071+00:00,1778381733.850087,Verizon,,tcp_ping,google_static,32.51166700010799,True,,,2026-05-10 02:55:33.850071+00:00
2026-05-10T02:55:34.344823+00:00,1778381734.344832,Verizon,,tcp_ping,cloudflare,26.91920899997058,True,,,2026-05-10 02:55:34.344823+00:00
2026-05-10T02:55:34.842306+00:00,1778381734.842315,Verizon,,tcp_ping,google_dns,23.23104200013404,True,,,2026-05-10 02:55:34.842306+00:00
2026-05-10T02:55:35.701435+00:00,1778381735.7014441,Verizon,,tcp_ping,google_meet,24.545499999931053,True,,,2026-05-10 02:55:35.701435+00:00
2026-05-10T02:55:36.200903+00:00,1778381736.2009249,Verizon,,tcp_ping,google_static,22.716334000051575,True,,,2026-05-10 02:55:36.200903+00:00
2026-05-10T02:55:36.714250+00:00,1778381736.714265,Verizon,,tcp_ping,cloudflare,34.988166999937675,True,,,2026-05-10 02:55:36.714250+00:00
2026-05-10T02:55:37.229133+00:00,1778381737.229155,Verizon,,tcp_ping,google_dns,48.47333299994716,True,,,2026-05-10 02:55:37.229133+00:00
2026-05-10T02:55:38.022667+00:00,1778381738.022677,Verizon,,tcp_ping,google_meet,24.763667000115674,True,,,2026-05-10 02:55:38.022667+00:00
