ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T03:21:02.639398+00:00,1778383262.639412,Verizon,,tcp_ping,google_meet,25.360292000002005,True,,,2026-05-10 03:21:02.639398+00:00
2026-05-10T03:21:03.180191+00:00,1778383263.180204,Verizon,,tcp_ping,google_static,65.04283399999977,True,,,2026-05-10 03:21:03.180191+00:00
2026-05-10T03:21:03.641909+00:00,1778383263.6419299,Verizon,,tcp_ping,cloudflare,25.534625000002364,True,,,2026-05-10 03:21:03.641909+00:00
2026-05-10T03:21:04.138372+00:00,1778383264.1384,Verizon,,tcp_ping,google_dns,21.357999999999322,True,,,2026-05-10 03:21:04.138372+00:00
2026-05-10T03:21:05.014427+00:00,1778383265.014435,Verizon,,tcp_ping,google_meet,102.25600000000057,True,,,2026-05-10 03:21:05.014427+00:00
2026-05-10T03:21:05.438282+00:00,1778383265.438293,Verizon,,tcp_ping,google_static,25.014416999997735,True,,,2026-05-10 03:21:05.438282+00:00
2026-05-10T03:21:05.940093+00:00,1778383265.9401011,Verizon,,tcp_ping,cloudflare,26.78716699999839,True,,,2026-05-10 03:21:05.940093+00:00
2026-05-10T03:21:05.615034+00:00,1778383265.615077,Verizon,,download,cloudflare_speed,,True,,61.38501376007464,2026-05-10 03:21:05.615034+00:00
2026-05-10T03:21:06.439706+00:00,1778383266.439719,Verizon,,tcp_ping,google_dns,25.542208000000954,True,,,2026-05-10 03:21:06.439706+00:00
2026-05-10T03:21:06.136413+00:00,1778383266.1364212,Verizon,,upload,cloudflare_speed,,True,,26.74542701618379,2026-05-10 03:21:06.136413+00:00
2026-05-10T03:21:07.237477+00:00,1778383267.2374852,Verizon,,tcp_ping,google_meet,22.464874999997164,True,,,2026-05-10 03:21:07.237477+00:00
2026-05-10T03:21:07.742675+00:00,1778383267.742691,Verizon,,tcp_ping,google_static,26.287958000001055,True,,,2026-05-10 03:21:07.742675+00:00
2026-05-10T03:21:08.247065+00:00,1778383268.2470798,Verizon,,tcp_ping,cloudflare,29.6679169999976,True,,,2026-05-10 03:21:08.247065+00:00
2026-05-10T03:21:08.736402+00:00,1778383268.736416,Verizon,,tcp_ping,google_dns,18.16216699999984,True,,,2026-05-10 03:21:08.736402+00:00
2026-05-10T03:21:09.612095+00:00,1778383269.612109,Verizon,,tcp_ping,google_meet,22.382792000001928,True,,,2026-05-10 03:21:09.612095+00:00
2026-05-10T03:21:10.115132+00:00,1778383270.1151628,Verizon,,tcp_ping,google_static,25.71754099999879,True,,,2026-05-10 03:21:10.115132+00:00
2026-05-10T03:21:10.623892+00:00,1778383270.6239202,Verizon,,tcp_ping,cloudflare,34.625333999997565,True,,,2026-05-10 03:21:10.623892+00:00
2026-05-10T03:21:11.108564+00:00,1778383271.108574,Verizon,,tcp_ping,google_dns,18.238166000003275,True,,,2026-05-10 03:21:11.108564+00:00
2026-05-10T03:21:11.978076+00:00,1778383271.9780831,Verizon,,tcp_ping,google_meet,22.836750000003292,True,,,2026-05-10 03:21:11.978076+00:00
2026-05-10T03:21:12.479174+00:00,1778383272.4791858,Verizon,,tcp_ping,google_static,22.6766660000024,True,,,2026-05-10 03:21:12.479174+00:00
2026-05-10T03:21:12.984291+00:00,1778383272.984309,Verizon,,tcp_ping,cloudflare,27.56974999999784,True,,,2026-05-10 03:21:12.984291+00:00
2026-05-10T03:21:13.476543+00:00,1778383273.476556,Verizon,,tcp_ping,google_dns,18.6128749999952,True,,,2026-05-10 03:21:13.476543+00:00
2026-05-10T03:21:14.298849+00:00,1778383274.298857,Verizon,,tcp_ping,google_meet,25.252334000001042,True,,,2026-05-10 03:21:14.298849+00:00
2026-05-10T03:21:14.798213+00:00,1778383274.798242,Verizon,,tcp_ping,google_static,23.172041999998783,True,,,2026-05-10 03:21:14.798213+00:00
2026-05-10T03:21:15.306075+00:00,1778383275.3061042,Verizon,,tcp_ping,cloudflare,30.903124999994702,True,,,2026-05-10 03:21:15.306075+00:00
2026-05-10T03:21:15.796499+00:00,1778383275.796515,Verizon,,tcp_ping,google_dns,19.893040999996003,True,,,2026-05-10 03:21:15.796499+00:00
2026-05-10T03:21:16.599990+00:00,1778383276.599999,Verizon,,tcp_ping,google_meet,22.086250000000973,True,,,2026-05-10 03:21:16.599990+00:00
2026-05-10T03:21:17.108905+00:00,1778383277.1089349,Verizon,,tcp_ping,google_static,29.667584000002023,True,,,2026-05-10 03:21:17.108905+00:00
2026-05-10T03:21:17.609591+00:00,1778383277.609609,Verizon,,tcp_ping,cloudflare,30.338083000003735,True,,,2026-05-10 03:21:17.609591+00:00
2026-05-10T03:21:18.133388+00:00,1778383278.133426,Verizon,,tcp_ping,google_dns,52.68495899999692,True,,,2026-05-10 03:21:18.133388+00:00
2026-05-10T03:21:18.897612+00:00,1778383278.897656,Verizon,,tcp_ping,google_meet,19.911624999998878,True,,,2026-05-10 03:21:18.897612+00:00
2026-05-10T03:21:19.399669+00:00,1778383279.399678,Verizon,,tcp_ping,google_static,21.77562500000363,True,,,2026-05-10 03:21:19.399669+00:00
2026-05-10T03:21:19.907159+00:00,1778383279.9071748,Verizon,,tcp_ping,cloudflare,28.206374999996342,True,,,2026-05-10 03:21:19.907159+00:00
2026-05-10T03:21:20.399743+00:00,1778383280.39978,Verizon,,tcp_ping,google_dns,19.549042000001293,True,,,2026-05-10 03:21:20.399743+00:00
2026-05-10T03:21:21.281216+00:00,1778383281.281224,Verizon,,tcp_ping,google_meet,82.00983300000075,True,,,2026-05-10 03:21:21.281216+00:00
2026-05-10T03:21:21.799280+00:00,1778383281.7993112,Verizon,,tcp_ping,google_static,98.532917,True,,,2026-05-10 03:21:21.799280+00:00
2026-05-10T03:21:22.515691+00:00,1778383282.515703,Verizon,,tcp_ping,cloudflare,314.9364170000055,True,,,2026-05-10 03:21:22.515691+00:00
2026-05-10T03:21:22.723009+00:00,1778383282.723018,Verizon,,tcp_ping,google_dns,21.62674999999581,True,,,2026-05-10 03:21:22.723009+00:00
2026-05-10T03:21:23.543712+00:00,1778383283.543721,Verizon,,tcp_ping,google_meet,23.796707999999,True,,,2026-05-10 03:21:23.543712+00:00
2026-05-10T03:21:24.043408+00:00,1778383284.043427,Verizon,,tcp_ping,google_static,22.256250000005195,True,,,2026-05-10 03:21:24.043408+00:00
2026-05-10T03:21:24.548745+00:00,1778383284.5487611,Verizon,,tcp_ping,cloudflare,27.44462500000111,True,,,2026-05-10 03:21:24.548745+00:00
2026-05-10T03:21:25.042337+00:00,1778383285.042367,Verizon,,tcp_ping,google_dns,19.756583000003047,True,,,2026-05-10 03:21:25.042337+00:00
2026-05-10T03:21:25.984213+00:00,1778383285.984234,Verizon,,tcp_ping,google_meet,99.85345799999834,True,,,2026-05-10 03:21:25.984213+00:00
2026-05-10T03:21:26.409413+00:00,1778383286.409428,Verizon,,tcp_ping,google_static,23.92470899999921,True,,,2026-05-10 03:21:26.409413+00:00
2026-05-10T03:21:26.912200+00:00,1778383286.9122171,Verizon,,tcp_ping,cloudflare,26.614957999996136,True,,,2026-05-10 03:21:26.912200+00:00
2026-05-10T03:21:27.409945+00:00,1778383287.40996,Verizon,,tcp_ping,google_dns,23.10120799999993,True,,,2026-05-10 03:21:27.409945+00:00
2026-05-10T03:21:28.240093+00:00,1778383288.240104,Verizon,,tcp_ping,google_meet,21.558708000000593,True,,,2026-05-10 03:21:28.240093+00:00
2026-05-10T03:21:28.743771+00:00,1778383288.743787,Verizon,,tcp_ping,google_static,23.788832999997567,True,,,2026-05-10 03:21:28.743771+00:00
2026-05-10T03:21:29.247083+00:00,1778383289.247102,Verizon,,tcp_ping,cloudflare,27.176041000004147,True,,,2026-05-10 03:21:29.247083+00:00
2026-05-10T03:21:29.739921+00:00,1778383289.7399528,Verizon,,tcp_ping,google_dns,18.686457999997685,True,,,2026-05-10 03:21:29.739921+00:00
2026-05-10T03:21:30.579755+00:00,1778383290.57977,Verizon,,tcp_ping,google_meet,22.37983299999513,True,,,2026-05-10 03:21:30.579755+00:00
2026-05-10T03:21:31.080832+00:00,1778383291.080849,Verizon,,tcp_ping,google_static,22.164582999998572,True,,,2026-05-10 03:21:31.080832+00:00
