ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:19:57.522675+00:00,1778379597.522683,Peanut Butter,,tcp_ping,google_meet,37.794750000102795,True,,,2026-05-10 02:19:57.522675+00:00
2026-05-10T02:19:58.050647+00:00,1778379598.0506601,Peanut Butter,,tcp_ping,google_static,64.54370800020115,True,,,2026-05-10 02:19:58.050647+00:00
2026-05-10T02:19:58.579680+00:00,1778379598.579695,Peanut Butter,,tcp_ping,cloudflare,92.41462500017406,True,,,2026-05-10 02:19:58.579680+00:00
2026-05-10T02:19:59.097432+00:00,1778379599.097464,Peanut Butter,,tcp_ping,google_dns,108.71966600006999,True,,,2026-05-10 02:19:59.097432+00:00
2026-05-10T02:19:59.840218+00:00,1778379599.840226,Peanut Butter,,tcp_ping,google_meet,27.40237500006515,True,,,2026-05-10 02:19:59.840218+00:00
2026-05-10T02:20:00.347242+00:00,1778379600.3472571,Peanut Butter,,tcp_ping,google_static,33.21045799998501,True,,,2026-05-10 02:20:00.347242+00:00
2026-05-10T02:20:00.854613+00:00,1778379600.8546402,Peanut Butter,,tcp_ping,cloudflare,39.27233299987165,True,,,2026-05-10 02:20:00.854613+00:00
2026-05-10T02:20:01.343609+00:00,1778379601.343625,Peanut Butter,,tcp_ping,google_dns,26.23391600013747,True,,,2026-05-10 02:20:01.343609+00:00
2026-05-10T02:20:02.243143+00:00,1778379602.243152,Peanut Butter,,tcp_ping,google_meet,105.01904200009449,True,,,2026-05-10 02:20:02.243143+00:00
2026-05-10T02:20:02.753496+00:00,1778379602.753512,Peanut Butter,,tcp_ping,google_static,114.89345800009687,True,,,2026-05-10 02:20:02.753496+00:00
2026-05-10T02:20:03.178590+00:00,1778379603.178601,Peanut Butter,,tcp_ping,cloudflare,38.024875000019165,True,,,2026-05-10 02:20:03.178590+00:00
2026-05-10T02:20:03.665209+00:00,1778379603.665216,Peanut Butter,,tcp_ping,google_dns,24.658625000029133,True,,,2026-05-10 02:20:03.665209+00:00
2026-05-10T02:20:04.508806+00:00,1778379604.508815,Peanut Butter,,tcp_ping,google_meet,27.586082999960126,True,,,2026-05-10 02:20:04.508806+00:00
2026-05-10T02:20:05.014766+00:00,1778379605.014776,Peanut Butter,,tcp_ping,google_static,32.36716699984754,True,,,2026-05-10 02:20:05.014766+00:00
2026-05-10T02:20:05.518833+00:00,1778379605.5188422,Peanut Butter,,tcp_ping,cloudflare,35.53062499986481,True,,,2026-05-10 02:20:05.518833+00:00
2026-05-10T02:20:06.019302+00:00,1778379606.019328,Peanut Butter,,tcp_ping,google_dns,32.72399999991649,True,,,2026-05-10 02:20:06.019302+00:00
2026-05-10T02:20:06.937989+00:00,1778379606.937997,Peanut Butter,,tcp_ping,google_meet,114.61445800000547,True,,,2026-05-10 02:20:06.937989+00:00
